date,open,high,low,close,volume
2023-07-03 09:15:00+05:30,57.38,57.68,57.28,57.58,897185
2023-07-03 09:20:00+05:30,57.58,57.58,57.33,57.38,740295
2023-07-03 09:25:00+05:30,57.43,57.48,57.33,57.43,375065
2023-07-03 09:30:00+05:30,57.43,57.58,57.38,57.58,309160
2023-07-03 09:35:00+05:30,57.58,57.63,57.53,57.63,632780
2023-07-03 09:40:00+05:30,57.63,57.93,57.63,57.78,1244185
2023-07-03 09:45:00+05:30,57.78,57.83,57.58,57.63,449175
2023-07-03 09:50:00+05:30,57.63,57.78,57.58,57.63,424755
2023-07-03 09:55:00+05:30,57.58,57.68,57.58,57.63,171065
2023-07-03 10:00:00+05:30,57.68,57.73,57.58,57.58,149600
2023-07-03 10:05:00+05:30,57.58,57.68,57.58,57.63,184260
2023-07-03 10:10:00+05:30,57.58,57.68,57.58,57.68,187625
2023-07-03 10:15:00+05:30,57.68,57.73,57.63,57.68,101310
2023-07-03 10:20:00+05:30,57.68,57.83,57.63,57.73,307850
2023-07-03 10:25:00+05:30,57.73,57.78,57.73,57.73,120270
2023-07-03 10:30:00+05:30,57.73,57.78,57.63,57.68,160245
2023-07-03 10:35:00+05:30,57.63,58.13,57.63,58.08,1406590
2023-07-03 10:40:00+05:30,58.03,58.23,57.98,58.13,1589065
2023-07-03 10:45:00+05:30,58.13,58.18,58.08,58.08,361295
2023-07-03 10:50:00+05:30,58.08,58.38,58.08,58.33,1022320
2023-07-03 10:55:00+05:30,58.33,58.38,58.13,58.18,472920
2023-07-03 11:00:00+05:30,58.18,58.38,58.13,58.33,491530
2023-07-03 11:05:00+05:30,58.33,58.33,58.23,58.28,465920
2023-07-03 11:10:00+05:30,58.28,58.33,58.18,58.23,676710
2023-07-03 11:15:00+05:30,58.23,58.23,58.13,58.18,175615
2023-07-03 11:20:00+05:30,58.18,58.28,58.13,58.23,247275
2023-07-03 11:25:00+05:30,58.23,58.28,58.13,58.18,190830
2023-07-03 11:30:00+05:30,58.18,58.28,58.13,58.28,261650
2023-07-03 11:35:00+05:30,58.28,58.33,58.18,58.23,452945
2023-07-03 11:40:00+05:30,58.23,58.28,58.13,58.18,230435
2023-07-03 11:45:00+05:30,58.18,58.28,58.18,58.28,92000
2023-07-03 11:50:00+05:30,58.23,58.33,58.18,58.18,755445
2023-07-03 11:55:00+05:30,58.18,58.43,58.18,58.38,1388240
2023-07-03 12:00:00+05:30,58.38,58.53,58.38,58.48,719155
2023-07-03 12:05:00+05:30,58.48,58.53,58.33,58.38,359110
2023-07-03 12:10:00+05:30,58.38,58.38,58.23,58.23,278200
2023-07-03 12:15:00+05:30,58.23,58.38,58.23,58.28,373470
2023-07-03 12:20:00+05:30,58.28,58.43,58.28,58.38,240505
2023-07-03 12:25:00+05:30,58.38,58.38,58.33,58.38,264025
2023-07-03 12:30:00+05:30,58.38,58.53,58.38,58.48,560425
2023-07-03 12:35:00+05:30,58.48,59.03,58.43,58.93,4861685
2023-07-03 12:40:00+05:30,58.93,59.13,58.88,59.08,2175310
2023-07-03 12:45:00+05:30,59.08,59.13,58.93,59.13,1452710
2023-07-03 12:50:00+05:30,59.08,59.08,58.93,58.93,1091035
2023-07-03 12:55:00+05:30,58.88,59.13,58.83,59.13,1158580
2023-07-03 13:00:00+05:30,59.13,59.18,59.08,59.13,1137775
2023-07-03 13:05:00+05:30,59.18,59.33,59.13,59.28,2154185
2023-07-03 13:10:00+05:30,59.28,59.33,59.18,59.23,1252690
2023-07-03 13:15:00+05:30,59.23,59.38,59.23,59.33,976445
2023-07-03 13:20:00+05:30,59.38,59.38,59.23,59.33,1206570
2023-07-03 13:25:00+05:30,59.33,59.58,59.18,59.23,2531515
2023-07-03 13:30:00+05:30,59.23,59.43,59.18,59.43,598470
2023-07-03 13:35:00+05:30,59.43,59.43,59.28,59.38,500430
2023-07-03 13:40:00+05:30,59.38,59.48,59.33,59.48,948070
2023-07-03 13:45:00+05:30,59.48,59.88,59.48,59.83,4638520
2023-07-03 13:50:00+05:30,59.83,59.98,59.68,59.88,2005260
2023-07-03 13:55:00+05:30,59.88,59.98,59.73,59.78,1620775
2023-07-03 14:00:00+05:30,59.73,59.83,59.63,59.63,1216605
2023-07-03 14:05:00+05:30,59.63,59.78,59.63,59.68,446580
2023-07-03 14:10:00+05:30,59.68,59.68,59.53,59.68,532285
2023-07-03 14:15:00+05:30,59.68,59.68,59.58,59.63,402625
2023-07-03 14:20:00+05:30,59.63,59.83,59.63,59.78,787955
2023-07-03 14:25:00+05:30,59.78,60.03,59.73,59.98,3566665
2023-07-03 14:30:00+05:30,59.98,60.33,59.98,60.33,3336050
2023-07-03 14:35:00+05:30,60.33,60.88,60.33,60.68,7316385
2023-07-03 14:40:00+05:30,60.68,60.98,60.48,60.53,4264930
2023-07-03 14:45:00+05:30,60.53,60.68,60.43,60.43,3135070
2023-07-03 14:50:00+05:30,60.48,60.73,60.33,60.73,2097365
2023-07-03 14:55:00+05:30,60.68,60.68,60.58,60.68,1064235
2023-07-03 15:00:00+05:30,60.63,60.68,60.53,60.58,1972620
2023-07-03 15:05:00+05:30,60.58,60.63,60.43,60.48,1736910
2023-07-03 15:10:00+05:30,60.48,60.48,60.28,60.28,2591175
2023-07-03 15:15:00+05:30,60.28,60.63,60.28,60.58,2701020
2023-07-03 15:20:00+05:30,60.58,60.63,60.28,60.33,3670555
2023-07-03 15:25:00+05:30,60.33,60.48,60.28,60.48,1251910
2023-07-04 09:15:00+05:30,60.93,61.13,60.43,61.03,4138390
2023-07-04 09:20:00+05:30,61.03,61.38,60.83,60.83,3170940
2023-07-04 09:25:00+05:30,60.88,61.28,60.73,61.18,2418770
2023-07-04 09:30:00+05:30,61.18,61.28,60.93,60.93,1277400
2023-07-04 09:35:00+05:30,60.93,60.98,60.63,60.83,1922235
2023-07-04 09:40:00+05:30,60.78,61.03,60.68,60.88,1063525
2023-07-04 09:45:00+05:30,60.88,61.13,60.68,60.93,1411445
2023-07-04 09:50:00+05:30,60.93,61.03,60.73,60.73,769195
2023-07-04 09:55:00+05:30,60.73,60.73,60.33,60.38,1559180
2023-07-04 10:00:00+05:30,60.38,60.48,60.28,60.48,914415
2023-07-04 10:05:00+05:30,60.48,60.68,60.43,60.63,801850
2023-07-04 10:10:00+05:30,60.63,61.08,60.58,61.03,1673665
2023-07-04 10:15:00+05:30,60.98,61.58,60.93,61.58,3109955
2023-07-04 10:20:00+05:30,61.58,61.93,61.53,61.68,5156510
2023-07-04 10:25:00+05:30,61.68,61.78,61.58,61.63,1668345
2023-07-04 10:30:00+05:30,61.68,61.73,61.33,61.38,1573480
2023-07-04 10:35:00+05:30,61.38,61.38,61.18,61.28,925745
2023-07-04 10:40:00+05:30,61.28,61.43,61.23,61.38,612085
2023-07-04 10:45:00+05:30,61.33,61.48,61.28,61.33,762965
2023-07-04 10:50:00+05:30,61.28,61.43,61.18,61.43,679665
2023-07-04 10:55:00+05:30,61.43,61.53,61.38,61.48,427365
2023-07-04 11:00:00+05:30,61.48,61.58,61.23,61.28,822025
2023-07-04 11:05:00+05:30,61.28,61.38,61.28,61.28,347580
2023-07-04 11:10:00+05:30,61.28,61.43,61.18,61.28,703485
2023-07-04 11:15:00+05:30,61.28,61.43,61.28,61.38,209975
2023-07-04 11:20:00+05:30,61.38,61.43,61.23,61.28,340700
2023-07-04 11:25:00+05:30,61.28,61.53,61.28,61.38,540290
2023-07-04 11:30:00+05:30,61.38,61.43,61.23,61.23,306645
2023-07-04 11:35:00+05:30,61.23,61.33,61.18,61.28,326035
2023-07-04 11:40:00+05:30,61.28,61.43,61.23,61.33,521880
2023-07-04 11:45:00+05:30,61.33,61.43,61.28,61.38,403455
2023-07-04 11:50:00+05:30,61.38,61.58,61.38,61.48,826130
2023-07-04 11:55:00+05:30,61.53,61.63,61.43,61.53,789010
2023-07-04 12:00:00+05:30,61.53,61.68,61.48,61.58,599180
2023-07-04 12:05:00+05:30,61.58,61.73,61.58,61.58,732050
2023-07-04 12:10:00+05:30,61.58,61.63,61.53,61.63,348725
2023-07-04 12:15:00+05:30,61.63,61.68,61.53,61.68,357215
2023-07-04 12:20:00+05:30,61.68,61.78,61.58,61.58,689860
2023-07-04 12:25:00+05:30,61.58,61.68,61.53,61.63,290195
2023-07-04 12:30:00+05:30,61.63,61.73,61.58,61.73,463740
2023-07-04 12:35:00+05:30,61.73,61.73,61.58,61.58,379425
2023-07-04 12:40:00+05:30,61.58,61.63,61.43,61.43,731245
2023-07-04 12:45:00+05:30,61.43,61.53,61.23,61.28,931750
2023-07-04 12:50:00+05:30,61.28,61.38,61.23,61.33,600200
2023-07-04 12:55:00+05:30,61.33,61.38,61.28,61.38,239775
2023-07-04 13:00:00+05:30,61.38,61.38,61.08,61.08,1420380
2023-07-04 13:05:00+05:30,61.08,61.13,60.88,61.08,1033690
2023-07-04 13:10:00+05:30,61.08,61.13,60.98,61.03,334485
2023-07-04 13:15:00+05:30,61.03,61.33,60.98,61.23,553570
2023-07-04 13:20:00+05:30,61.23,61.33,61.18,61.23,375195
2023-07-04 13:25:00+05:30,61.23,61.38,61.23,61.33,293585
2023-07-04 13:30:00+05:30,61.38,61.38,61.08,61.08,360985
2023-07-04 13:35:00+05:30,61.08,61.23,61.08,61.23,187560
2023-07-04 13:40:00+05:30,61.23,61.28,61.18,61.23,117410
2023-07-04 13:45:00+05:30,61.23,61.28,61.03,61.08,323270
2023-07-04 13:50:00+05:30,61.08,61.13,61.03,61.08,302290
2023-07-04 13:55:00+05:30,61.08,61.13,61.03,61.13,160780
2023-07-04 14:00:00+05:30,61.13,61.13,60.98,61.03,295605
2023-07-04 14:05:00+05:30,61.03,61.08,60.88,60.93,495920
2023-07-04 14:10:00+05:30,60.93,61.03,60.78,60.83,580975
2023-07-04 14:15:00+05:30,60.83,60.88,60.68,60.73,826760
2023-07-04 14:20:00+05:30,60.78,60.83,60.73,60.73,264100
2023-07-04 14:25:00+05:30,60.73,60.73,60.58,60.58,621760
2023-07-04 14:30:00+05:30,60.58,60.68,60.53,60.68,642425
2023-07-04 14:35:00+05:30,60.68,60.83,60.63,60.73,515920
2023-07-04 14:40:00+05:30,60.73,61.03,60.73,60.98,4105000
2023-07-04 14:45:00+05:30,60.93,60.98,60.73,60.73,620195
2023-07-04 14:50:00+05:30,60.78,60.98,60.73,60.88,554355
2023-07-04 14:55:00+05:30,60.88,61.03,60.83,60.98,552195
2023-07-04 15:00:00+05:30,60.93,61.08,60.93,61.08,626355
2023-07-04 15:05:00+05:30,61.08,61.18,61.03,61.13,680135
2023-07-04 15:10:00+05:30,61.13,61.18,61.08,61.13,748300
2023-07-04 15:15:00+05:30,61.18,61.18,61.03,61.08,866345
2023-07-04 15:20:00+05:30,61.03,61.18,61.03,61.13,1247350
2023-07-04 15:25:00+05:30,61.13,61.18,61.03,61.13,811520
2023-07-05 09:15:00+05:30,61.13,61.38,60.88,61.18,1752980
2023-07-05 09:20:00+05:30,61.13,61.43,61.08,61.43,936315
2023-07-05 09:25:00+05:30,61.43,61.48,61.13,61.18,845220
2023-07-05 09:30:00+05:30,61.18,61.38,61.13,61.18,668955
2023-07-05 09:35:00+05:30,61.18,61.33,60.98,61.03,729575
2023-07-05 09:40:00+05:30,60.98,61.18,60.83,61.18,1104335
2023-07-05 09:45:00+05:30,61.18,61.18,60.93,61.03,436140
2023-07-05 09:50:00+05:30,60.98,61.08,60.98,61.08,204335
2023-07-05 09:55:00+05:30,61.03,61.18,60.88,60.98,398260
2023-07-05 10:00:00+05:30,60.98,61.03,60.88,60.93,153345
2023-07-05 10:05:00+05:30,60.93,61.08,60.88,61.03,161765
2023-07-05 10:10:00+05:30,61.03,61.13,61.03,61.08,270130
2023-07-05 10:15:00+05:30,61.08,61.08,60.98,60.98,144020
2023-07-05 10:20:00+05:30,60.98,61.03,60.88,60.88,171005
2023-07-05 10:25:00+05:30,60.88,61.03,60.83,60.93,250810
2023-07-05 10:30:00+05:30,60.93,61.08,60.93,61.08,193380
2023-07-05 10:35:00+05:30,61.08,61.13,60.98,61.08,242700
2023-07-05 10:40:00+05:30,61.08,61.33,61.08,61.28,491605
2023-07-05 10:45:00+05:30,61.28,61.58,61.18,61.53,1393870
2023-07-05 10:50:00+05:30,61.53,61.53,61.33,61.33,487475
2023-07-05 10:55:00+05:30,61.38,61.38,61.18,61.18,363610
2023-07-05 11:00:00+05:30,61.18,61.18,61.08,61.13,142900
2023-07-05 11:05:00+05:30,61.13,61.23,61.08,61.18,140865
2023-07-05 11:10:00+05:30,61.18,61.18,61.08,61.18,148950
2023-07-05 11:15:00+05:30,61.18,61.23,61.13,61.18,126940
2023-07-05 11:20:00+05:30,61.18,61.23,61.13,61.18,251870
2023-07-05 11:25:00+05:30,61.18,61.23,61.18,61.18,231315
2023-07-05 11:30:00+05:30,61.18,61.18,61.13,61.18,114620
2023-07-05 11:35:00+05:30,61.18,61.18,61.13,61.18,152660
2023-07-05 11:40:00+05:30,61.18,61.28,61.18,61.28,547540
2023-07-05 11:45:00+05:30,61.28,61.33,61.13,61.18,198125
2023-07-05 11:50:00+05:30,61.18,61.28,61.13,61.28,110515
2023-07-05 11:55:00+05:30,61.28,61.28,61.18,61.28,170800
2023-07-05 12:00:00+05:30,61.28,61.33,61.28,61.33,212415
2023-07-05 12:05:00+05:30,61.33,61.48,61.33,61.43,597995
2023-07-05 12:10:00+05:30,61.43,61.48,61.43,61.48,265255
2023-07-05 12:15:00+05:30,61.48,61.53,61.38,61.53,346195
2023-07-05 12:20:00+05:30,61.53,61.63,61.48,61.58,551815
2023-07-05 12:25:00+05:30,61.58,61.83,61.58,61.68,1818290
2023-07-05 12:30:00+05:30,61.68,61.73,61.43,61.53,735720
2023-07-05 12:35:00+05:30,61.48,61.68,61.48,61.53,240360
